,Coefficient,Std_Error,t_stat,p_value,CI_lower_95,CI_upper_95
const,-0.024554225775173376,0.020037933589382377,-1.225387122162341,0.22042939666428207,-0.06382785393496825,0.014719402384621494
Z_Surprise,0.014173082834766069,0.01901001959385984,0.7455585600418801,0.45593412380194787,-0.023085870914599963,0.051432036584132104
Z_Gap,-0.004074159984235313,0.014910022469485947,-0.2732497548258744,0.7846612358454153,-0.03329726703311073,0.0251489470646401
Z_Interaction,0.0007218909501754533,0.0005844339123771312,1.2351968886254876,0.2167572369580697,-0.00042357846942756147,0.001867360369778468
Std_Log_Market_Cap,-0.011388468578668164,0.004454176382598695,-2.556806825872442,0.010563786286847836,-0.020118493869350506,-0.0026584432879858226
Sector_Consumer Discretionary,0.017948131290472406,0.022730755055985815,0.7895967928151171,0.4297632818722378,-0.026603329960661535,0.06249959254160635
Sector_Consumer Staples,-0.04591487057987451,0.023479882713587433,-1.9554982935798189,0.05052428457889379,-0.09193459505973048,0.00010485389998144551
Sector_Energy,-0.01265478768876962,0.02658195337122604,-0.47606688312334294,0.6340267293912996,-0.06475445893509574,0.039444883557556494
Sector_Financials,0.024263433530825204,0.022223534588073593,1.0917900316291873,0.27492540155321976,-0.019293893870979226,0.06782076093262963
Sector_Health Care,-0.02894981274377351,0.0242024682565806,-1.1961512535359744,0.23163753958395794,-0.07638577886364539,0.018486153376098376
Sector_Industrials,0.011541867497026348,0.02328913562919708,0.49559020484025873,0.6201835650195338,-0.0341039995672685,0.057187734561321195
Sector_Information Technology,0.009706492474915451,0.023787161920835118,0.408055929800249,0.6832326137456974,-0.036915488184343995,0.0563284731341749
Sector_Materials,-0.010986435145051564,0.02627115012239562,-0.41819391590647764,0.6758053437265409,-0.062476943217392014,0.04050407292728889
Sector_Real Estate,0.004431577563066225,0.024275060330017445,0.18255680945049335,0.8551457757977664,-0.04314666640630497,0.05200982153243742
Sector_Utilities,-0.000275965427844067,0.020929369252767085,-0.013185558748149157,0.9894797510900974,-0.04129677538240754,0.0407448445267194
